"","Cycle","DESECON2","number_of_species","number_of_clusters","total_plots","area"
"1","1","Altiplanicie Mexicana",199,249,985,394000
"2","2","Altiplanicie Mexicana",236,288,1148,459200
"3","3","Altiplanicie Mexicana",210,189,748,299200
"4","1","California Mediterranea",38,79,313,125200
"5","2","California Mediterranea",46,93,370,148000
"6","3","California Mediterranea",57,55,218,87200
"7","1","Cuerpos de agua",7,3,12,4800
"8","2","Cuerpos de agua",6,2,8,3200
"9","3","Cuerpos de agua",6,2,8,3200
"10","1","Depresiones Intermontanas",602,657,2492,996800
"11","2","Depresiones Intermontanas",788,687,2648,1059200
"12","3","Depresiones Intermontanas",664,392,1502,600800
"13","1","Desiertos Calidos",297,1357,5377,2150800
"14","2","Desiertos Calidos",245,1483,5884,2353600
"15","3","Desiertos Calidos",231,766,3039,1215600
"16","1","Piedemonte de la Sierra Madre Occidental",185,797,3129,1251600
"17","2","Piedemonte de la Sierra Madre Occidental",172,891,3512,1404800
"18","3","Piedemonte de la Sierra Madre Occidental",159,449,1776,710400
"19","1","Planicie Costera y Lomerios Humedos del Golfo de Mexico",765,992,3745,1498000
"20","2","Planicie Costera y Lomerios Humedos del Golfo de Mexico",926,1059,4082,1632800
"21","3","Planicie Costera y Lomerios Humedos del Golfo de Mexico",750,474,1800,720000
"22","1","Planicie Costera y Lomerios del Pacifico Sur",713,638,2372,948800
"23","2","Planicie Costera y Lomerios del Pacifico Sur",733,647,2492,996800
"24","3","Planicie Costera y Lomerios del Pacifico Sur",639,331,1269,507600
"25","1","Planicie Costera y Lomerios del Soconusco",305,96,353,141200
"26","2","Planicie Costera y Lomerios del Soconusco",448,106,409,163600
"27","3","Planicie Costera y Lomerios del Soconusco",277,68,262,104800
"28","1","Planicie Costera, Lomerios y Canones del Occidente",581,796,2978,1191200
"29","2","Planicie Costera, Lomerios y Canones del Occidente",509,838,3222,1288800
"30","3","Planicie Costera, Lomerios y Canones del Occidente",381,344,1328,531200
"31","1","Planicie Noroccidental de la  Peninsula de Yucatan",157,91,360,144000
"32","2","Planicie Noroccidental de la  Peninsula de Yucatan",195,101,404,161600
"33","3","Planicie Noroccidental de la  Peninsula de Yucatan",140,63,252,100800
"34","1","Planicie costera de Texas-Louisiana",23,20,80,32000
"35","2","Planicie costera de Texas-Louisiana",29,23,92,36800
"36","1","Planicie semiarida de Tamaulipas-Texas",153,403,1600,640000
"37","2","Planicie semiarida de Tamaulipas-Texas",162,419,1662,664800
"38","3","Planicie semiarida de Tamaulipas-Texas",83,107,425,170000
"39","1","Planicie y Lomerios de la Peninsula de Yucatan",676,3125,12475,4990000
"40","2","Planicie y Lomerios de la Peninsula de Yucatan",789,3122,12485,4994000
"41","3","Planicie y Lomerios de la Peninsula de Yucatan",664,1760,7023,2809200
"42","1","Planicies Costeras y Lomerios Secos del Golfo de Mexico",203,174,674,269600
"43","2","Planicies Costeras y Lomerios Secos del Golfo de Mexico",217,180,707,282800
"44","3","Planicies Costeras y Lomerios Secos del Golfo de Mexico",118,38,149,59600
"45","1","Planicies y Lomerios del Occidente",363,228,843,337200
"46","2","Planicies y Lomerios del Occidente",334,217,814,325600
"47","3","Planicies y Lomerios del Occidente",241,97,357,142800
"48","1","Sierra Madre Centroamericana y Altos de Chiapas",496,492,1841,736400
"49","2","Sierra Madre Centroamericana y Altos de Chiapas",642,550,2153,861200
"50","3","Sierra Madre Centroamericana y Altos de Chiapas",458,249,958,383200
"51","1","Sierra Madre Occidental",647,4910,19112,7644800
"52","2","Sierra Madre Occidental",625,5014,19525,7810000
"53","3","Sierra Madre Occidental",509,2271,8876,3550400
"54","1","Sierra Madre Oriental",482,937,3545,1418000
"55","2","Sierra Madre Oriental",551,954,3683,1473200
"56","3","Sierra Madre Oriental",515,486,1851,740400
"57","1","Sierra Madre del Sur",851,2187,7937,3174800
"58","2","Sierra Madre del Sur",1073,2246,8477,3390800
"59","3","Sierra Madre del Sur",869,1096,4177,1670800
"60","1","Sierra de Los Tuxtlas",49,20,79,31600
"61","2","Sierra de Los Tuxtlas",130,23,86,34400
"62","3","Sierra de Los Tuxtlas",50,9,35,14000
"63","1","Sierra y Planicies de El Cabo",111,80,311,124400
"64","2","Sierra y Planicies de El Cabo",85,89,349,139600
"65","3","Sierra y Planicies de El Cabo",79,50,200,80000
"66","1","Sistema Neovolcanico Transversal",605,1116,4298,1719200
"67","2","Sistema Neovolcanico Transversal",669,1151,4476,1790400
"68","3","Sistema Neovolcanico Transversal",551,656,2544,1017600
